462639 100
0 0.01 5000000 5 8
0 -4.44271058702e-003  5.82753053055e-004  1.85410778926e-004  2.21926757616e-002
#      ^^ E0 ^^          ^^ Lx0 ^^          ^^ Ly0 ^^          ^^ Lz0 ^^
#
# HNBody system energy/angular momentum conservation file.
#
#
# Column order: t      (E-E0)/E0   (Lx-Lx0)/L0   (Ly-Ly0)/L0   (Lz-Lz0)/L0
#
          3100000  -4.806625e-013 6.348617e-017 -2.930131e-017 7.813683e-016
          3150000  -6.073685e-013 8.302038e-017 -5.738173e-017 1.406463e-015
          3200000  -4.945241e-013 6.348617e-017 -5.005640e-017 6.250946e-016
          3250000  -2.036276e-013 3.906841e-017 -5.371907e-017 6.250946e-016
          3300000  -4.638726e-013 3.418486e-017 -5.249818e-017 1.093916e-015
          3350000  -2.592688e-013 4.883552e-017 -6.836972e-017 4.688210e-016
          3400000  -5.523129e-013 3.418486e-017 -5.616084e-017 1.562737e-016
          3450000  -4.830053e-013 3.418486e-017 -7.081150e-017 4.688210e-016
          3500000  -2.547785e-013 1.953421e-017 -6.226528e-017 1.562737e-016
          3550000  -2.744970e-013 4.883552e-018 -1.025546e-016 -4.688210e-016
          3600000  -5.076046e-013 3.418486e-017 -7.813683e-017 -4.688210e-016
          3650000  -4.662153e-013 1.953421e-017 -6.714883e-017 -4.688210e-016
          3700000  -6.052209e-013 2.441776e-017 -7.935771e-017 -1.093916e-015
          3750000  -1.788135e-012 5.860262e-017 -8.179949e-017 -4.688210e-016
          3800000  -4.906194e-013 5.860262e-017 -5.738173e-017 -3.125473e-016
          3850000  -5.056523e-013 4.883552e-017 -1.587154e-017 -1.562737e-016
          3900000  -4.498158e-013 2.930131e-017 -2.075509e-017 -1.250189e-015
          3950000  -2.553642e-013 3.418486e-017 -1.953421e-017 -1.250189e-015
          4000000  -2.856252e-013 5.860262e-017 2.197598e-017 -6.250946e-016
          4050000  -4.658249e-013 6.348617e-017 1.220888e-017 -7.813683e-016
          4100000  -4.833958e-013 6.836972e-017 2.685953e-017 -1.406463e-015
          4150000  -5.405989e-013 8.790393e-017 -7.325327e-018 -7.813683e-016
          4200000  -4.828101e-013 7.325327e-017 8.546215e-018 -1.093916e-015
          4250000  -2.143653e-013 6.836972e-017 0.000000e+000 -1.250189e-015
          4300000  -4.781245e-013 6.348617e-017 -8.546215e-018 -1.562737e-015
          4350000  -4.796864e-013 5.371907e-017 -7.325327e-018 -1.406463e-015
          4400000  -9.117360e-013 3.418486e-017 1.709243e-017 -1.406463e-015
          4450000  -5.829644e-013 3.418486e-017 8.546215e-018 -1.875284e-015
          4500000  -7.976031e-012 5.860262e-017 -1.709243e-017 -1.875284e-015
          4550000  -1.808654e-011 4.395196e-017 -2.685953e-017 -2.344105e-015
          4600000  -8.873886e-011 4.395196e-017 -3.418486e-017 -2.969199e-015
          4650000  -1.455322e-011 5.371907e-017 -2.808042e-017 -2.969199e-015
          4700000  -3.950414e-011 4.883552e-017 -3.784753e-017 -2.812926e-015
          4750000  -5.281353e-011 5.371907e-017 -3.784753e-017 -2.344105e-015
          4800000  -7.208376e-012 5.371907e-017 -8.179949e-017 -2.344105e-015
          4850000  1.399230e-010 5.860262e-017 -7.935771e-017 -2.656652e-015
          4900000  -8.007463e-011 3.906841e-017 -5.982351e-017 -2.344105e-015
          4950000  7.700890e-011 2.930131e-017 -2.930131e-017 -1.875284e-015
          5000000  5.547143e-012 1.465065e-017 -8.546215e-018 -1.719010e-015
          5050000  1.339100e-012 1.953421e-017 2.441776e-018 -2.031557e-015
          5100000  1.386151e-013 1.465065e-017 2.441776e-017 -2.344105e-015
          5150000  5.339610e-013 3.418486e-017 1.953421e-017 -1.406463e-015
          5200000  -8.762037e-013 4.883552e-017 2.563865e-017 -1.562737e-015
          5250000  -1.636049e-013 5.860262e-017 -2.563865e-017 -1.562737e-015
          5300000  -1.973801e-013 9.278748e-017 -1.953421e-017 -7.813683e-016
          5350000  -3.765450e-012 9.278748e-017 -1.587154e-017 -6.250946e-016
